date,narration,amount,type
2026-02-28,Team lunch 2634,5495.82,debit
2024-10-09,Zoom subscription,1620.09,debit
2026-02-22,GitHub subscription,818.42,debit
2024-06-16,Uber ride 2082,191.51,debit
2024-08-21,Swiggy order #1359,622.66,debit
2025-07-20,Razorpay settlement 2723,49789.24,credit
2025-06-12,ATM withdrawal 9317,5118.79,debit
2024-04-10,Jio recharge,552.66,debit
2024-05-26,Flipkart order #9827,1876.21,debit
2025-09-05,GitHub subscription,597.93,debit
2024-12-17,Flight booking 7131,12496.64,debit
2024-05-31,Interest credit,920.69,credit
2024-08-24,Zepto groceries,1167.93,debit
2025-05-02,Zoom subscription,1636.06,debit
2025-12-18,Medical reimbursement,3421.58,debit
2024-04-24,Swiggy order #5656,784.94,debit
2025-01-14,Hotel stay 6942,7763.98,debit
2024-12-15,Swiggy order #5783,689.42,debit
2024-01-06,GitHub subscription,1159.44,debit
2024-08-08,Microsoft Azure 8927,5804.55,debit
2025-06-19,Salary credit 5634,65874.62,credit
2024-02-01,Freelance payment 1996,17572.71,credit
2024-04-01,Amazon purchase,3638.2,debit
2024-10-25,Salary credit 6533,62998.82,credit
2025-06-01,Airtel broadband,1076.01,debit
2026-01-10,Uber ride 4787,122.54,debit
2024-10-21,Figma subscription,1455.92,debit
2024-03-15,Myntra order #2191,2128.25,debit
2026-02-01,Swiggy order #3332,294.53,debit
2024-04-05,Salary credit 4228,83546.51,credit
2024-05-31,Salary credit 9957,94234.76,credit
2024-06-27,Team lunch 4812,7227.44,debit
2024-02-16,Spotify premium,106.08,debit
2026-01-23,Hotel stay 7874,13321.87,debit
2026-03-21,Team lunch 9624,6879.11,debit
2024-02-08,Ola cab 7014,193.81,debit
2025-07-04,Medical reimbursement,3994.02,debit
2025-02-22,Refund credit 9942,4442.6,credit
2025-07-20,Refund credit 5976,4342.46,credit
2025-11-03,Amazon purchase,1353.95,debit
2024-04-18,Microsoft Azure 8113,17225.09,debit
2025-07-13,Zepto groceries,1448.98,debit
2024-04-14,Microsoft Azure 7353,5983.55,debit
2025-06-08,Team lunch 3725,7344.79,debit
2024-07-04,Netflix subscription,536.76,debit
2024-07-31,Airtel broadband,607.78,debit
2024-08-15,ATM withdrawal 7961,4167.38,debit
2025-06-11,Freelance payment 1364,28663.32,credit
2024-07-14,Zoom subscription,1016.22,debit
2026-03-21,Medical reimbursement,2246.42,debit
2026-02-19,Ola cab 1430,263.71,debit
2026-04-14,Bank charges 5236,189.76,debit
2025-03-14,Myntra order #7136,2049.42,debit
2024-11-02,Airtel broadband,1282.67,debit
2025-03-22,Hotel stay 1280,4327.59,debit
2026-04-24,AWS invoice 7742,5805.18,debit
2025-08-23,Electricity bill 2124,3070.97,debit
2024-10-05,Flight booking 1031,6991.91,debit
2025-06-29,Swiggy order #2426,648.51,debit
2024-06-25,Airtel broadband,1336.69,debit
2025-07-18,Myntra order #6681,864.24,debit
2025-01-17,Electricity bill 3363,3231.33,debit
2024-07-21,Zepto groceries,1145.45,debit
2024-04-25,Electricity bill 9409,4001.35,debit
2025-06-05,Team lunch 8284,4132.35,debit
2025-08-27,Uber ride 5478,117.15,debit
2024-06-09,Zepto groceries,916.67,debit
2024-11-07,Zomato order #9807,292.9,debit
2024-06-09,Electricity bill 2126,1516.55,debit
2025-09-20,Slack subscription,1056.88,debit
2025-03-29,Uber ride 2713,253.75,debit
2025-12-29,Amazon purchase,737.23,debit
2025-06-19,Razorpay settlement 8025,25273.15,credit
2024-06-11,Hotel stay 2527,9160.91,debit
2025-09-29,Airtel broadband,522.96,debit
2024-04-30,Team lunch 8718,3866.96,debit
2025-04-14,Myntra order #2037,2160.36,debit
2025-07-31,Flipkart order #3280,2779.91,debit
2025-01-01,Airtel broadband,903.0,debit
2025-01-07,Medical reimbursement,1325.09,debit
2026-04-12,AWS invoice 3133,5743.51,debit
2024-02-20,Team lunch 3572,3262.78,debit
2026-03-09,ATM withdrawal 8667,5245.06,debit
2024-07-20,Zomato order #1971,226.23,debit
2026-04-23,Airtel broadband,877.13,debit
2024-04-21,Slack subscription,1082.17,debit
2026-03-23,Team lunch 4720,4378.16,debit
2025-04-13,IMPS payment 1099,9380.28,debit
2026-02-02,Hotel stay 8932,12326.47,debit
2024-12-27,Uber ride 9009,409.98,debit
2025-05-10,Office supplies,617.22,debit
2025-10-03,Netflix subscription,663.47,debit
2025-10-15,Google Workspace,578.74,debit
2025-11-03,GitHub subscription,714.61,debit
2025-09-21,Team lunch 1516,2251.25,debit
2024-08-01,Interest credit,1731.44,credit
2025-04-05,Spotify premium,102.27,debit
2025-08-29,ATM withdrawal 2840,4806.84,debit
2025-02-17,Slack subscription,1732.79,debit
2025-02-18,Myntra order #5221,2880.25,debit
2025-11-02,BigBasket order,1907.87,debit
2024-10-02,Airtel broadband,573.83,debit
2024-08-12,AWS invoice 4581,7877.04,debit
2025-07-14,Google Workspace,1429.65,debit
2026-02-02,AWS invoice 2500,4412.47,debit
2024-08-20,Myntra order #8501,2834.49,debit
2024-12-25,Ola cab 7484,212.14,debit
2024-05-08,AWS invoice 4348,4257.79,debit
2025-12-06,Myntra order #7531,1192.13,debit
2024-05-01,Electricity bill 8509,4228.41,debit
2025-10-15,Office supplies,2834.76,debit
2024-06-06,Zomato order #5934,677.5,debit
2025-01-20,Salary credit 9734,145668.55,credit
2024-03-19,Netflix subscription,703.76,debit
2025-04-03,Client payment 3463,143614.55,credit
2025-07-17,UPI transfer #1810,29936.39,debit
2026-01-03,NEFT transfer 9894,34689.04,credit
2025-08-10,Team lunch 8168,3198.41,debit
2024-04-16,Zomato order #3589,241.97,debit
2025-02-26,GitHub subscription,544.66,debit
2024-05-23,Zomato order #5552,610.23,debit
2025-02-12,GitHub subscription,741.87,debit
2024-02-24,Spotify premium,170.59,debit
2025-01-12,Uber ride 5601,310.57,debit
2024-08-31,Cheque deposit 1533,88801.09,credit
2025-12-02,Amazon purchase,641.59,debit
2026-04-03,GitHub subscription,560.72,debit
2026-04-15,BigBasket order,1065.74,debit
2024-12-14,Zepto groceries,888.82,debit
2025-06-03,Razorpay settlement 7565,23944.37,credit
2024-03-12,Zomato order #3087,285.97,debit
2025-05-22,Airtel broadband,760.13,debit
2025-08-24,Swiggy order #1990,158.97,debit
2024-07-17,Ola cab 1231,152.79,debit
2025-02-26,Spotify premium,172.91,debit
2024-06-08,Ola cab 4641,111.93,debit
2026-01-10,Amazon purchase,3008.19,debit
2025-07-23,Zepto groceries,460.47,debit
2024-09-26,Uber ride 4985,230.21,debit
2025-02-19,UPI transfer #1043,12980.07,debit
2024-02-03,Swiggy order #1396,657.03,debit
2025-01-02,Spotify premium,143.07,debit
2024-07-10,BigBasket order,2342.93,debit
2025-08-19,Amazon purchase,4838.53,debit
2024-10-01,Refund credit 5579,842.96,credit
2026-02-03,Amazon purchase,909.76,debit
2024-10-01,Spotify premium,114.59,debit
2026-02-11,Netflix subscription,680.41,debit
2025-12-16,Office supplies,1444.16,debit
2024-04-07,Uber ride 4847,104.68,debit
2025-06-17,Freelance payment 5405,57972.12,credit
2025-08-24,Airtel broadband,1226.6,debit
2025-03-13,Electricity bill 2573,4366.64,debit
2024-02-11,Hotel stay 2182,14975.88,debit
2025-10-06,Razorpay settlement 1102,21660.53,credit
2025-02-24,Google Workspace,807.44,debit
2026-01-15,Amazon purchase,719.78,debit
2024-01-26,Amazon purchase,1450.76,debit
2025-07-22,Interest credit,1959.89,credit
2024-08-06,Client payment 2127,67736.07,credit
2024-09-03,Airtel broadband,652.75,debit
2026-03-12,GitHub subscription,1175.79,debit
2024-03-31,Cheque deposit 3027,66067.72,credit
2026-02-20,Razorpay settlement 7414,18522.64,credit
2025-11-30,Office supplies,2414.89,debit
2024-04-23,Interest credit,633.87,credit
2025-09-15,Airtel broadband,1262.37,debit
2025-05-05,Flight booking 7732,6581.97,debit
2024-08-13,Razorpay settlement 4328,41256.96,credit
2025-08-27,Razorpay settlement 9904,45783.66,credit
2024-07-12,Razorpay settlement 3502,37620.96,credit
2024-08-06,Office supplies,1701.87,debit
2024-05-20,Medical reimbursement,608.49,debit
2024-02-26,Electricity bill 6985,4988.06,debit
2024-06-06,Freelance payment 6722,39285.26,credit
2024-04-11,Hotel stay 6082,13206.03,debit
2024-03-26,Jio recharge,400.17,debit
2024-07-23,Google Workspace,1024.49,debit
2024-11-11,Zomato order #1653,919.19,debit
2025-08-29,Ola cab 8294,228.13,debit
2025-03-04,BigBasket order,1894.28,debit
2025-01-23,Ola cab 1697,158.75,debit
2025-07-20,Medical reimbursement,3003.45,debit
2026-01-13,Flight booking 2285,9478.52,debit
2025-03-22,Freelance payment 6098,77181.89,credit
2026-03-17,Zepto groceries,754.19,debit
2025-05-28,Microsoft Azure 9714,17102.52,debit
2025-08-05,Amazon purchase,2086.74,debit
2024-08-03,Google Workspace,583.8,debit
2025-05-18,Uber ride 3318,480.54,debit
2025-09-30,Team lunch 7735,2263.63,debit
2024-04-18,Slack subscription,1758.72,debit
2024-11-08,AWS invoice 8586,8701.88,debit
2024-01-28,Flipkart order #6243,422.31,debit
2025-09-05,Google Workspace,1436.01,debit
2025-08-30,Figma subscription,1233.13,debit
2025-10-20,Slack subscription,977.38,debit
2025-05-11,Electricity bill 3873,1676.48,debit
2024-06-22,Myntra order #4982,1532.23,debit
2025-03-16,Electricity bill 3701,2145.87,debit
2025-01-25,Netflix subscription,771.1,debit
2024-06-15,Zepto groceries,1080.15,debit
2026-03-12,NEFT transfer 8267,56756.94,credit
2024-12-01,UPI transfer #8362,47871.16,debit
2024-04-07,Microsoft Azure 6665,15295.31,debit
2025-06-03,Google Workspace,1381.49,debit
2025-08-13,Swiggy order #5601,576.8,debit
2025-12-15,Team lunch 3500,4872.16,debit
2026-02-08,Medical reimbursement,4406.6,debit
2025-03-22,Zomato order #3917,372.93,debit
2024-12-08,Amazon purchase,2836.28,debit
2026-02-08,GitHub subscription,907.39,debit
2024-01-18,Zoom subscription,1228.86,debit
2024-03-01,Bank charges 2859,441.4,debit
2025-12-18,Airtel broadband,958.46,debit
2025-10-07,Spotify premium,178.44,debit
2025-03-06,Hotel stay 2877,10428.39,debit
2025-03-05,Amazon purchase,3320.47,debit
2024-08-03,Office supplies,2578.48,debit
2026-02-27,Spotify premium,103.52,debit
2025-05-17,Flight booking 2422,9459.44,debit
2024-10-07,Ola cab 8427,168.3,debit
2024-01-01,Figma subscription,1023.9,debit
2025-08-26,Jio recharge,523.77,debit
2025-10-04,BigBasket order,2586.87,debit
2024-12-02,Ola cab 5991,387.82,debit
2026-04-13,Airtel broadband,648.17,debit
2024-09-08,BigBasket order,1037.96,debit
2025-05-14,Jio recharge,432.78,debit
2025-06-27,Spotify premium,125.02,debit
2026-03-05,Razorpay settlement 5016,37960.85,credit
2025-05-21,Medical reimbursement,4706.38,debit
2024-07-28,Hotel stay 9115,3873.97,debit
2024-01-30,Electricity bill 8037,3456.43,debit
2025-01-02,Client payment 7124,156793.73,credit
2024-05-30,Swiggy order #1204,241.83,debit
2024-08-11,Zomato order #9947,983.23,debit
2024-06-04,GitHub subscription,982.93,debit
2025-03-02,Freelance payment 7175,10597.53,credit
2024-04-30,GitHub subscription,459.04,debit
2024-12-15,Client payment 3038,65850.63,credit
2024-05-08,Netflix subscription,631.52,debit
2026-03-11,Jio recharge,478.1,debit
2025-01-14,Airtel broadband,972.19,debit
2026-01-05,Electricity bill 5387,3113.29,debit
2024-01-05,Myntra order #2743,1415.11,debit
2025-11-22,Electricity bill 7909,1139.31,debit
2025-09-05,Office supplies,1406.33,debit
2024-06-24,Flight booking 3608,6806.44,debit
2024-03-13,Client payment 7678,167891.48,credit
2024-09-22,Flight booking 8021,17119.33,debit
2025-05-06,Razorpay settlement 9696,46051.98,credit
2025-01-16,IMPS payment 4803,2177.52,debit
2025-02-27,Flight booking 6644,9209.55,debit
2025-10-19,Myntra order #6770,1726.49,debit
2025-06-27,Freelance payment 6235,31234.09,credit
2024-11-20,Flight booking 3663,5515.05,debit
2025-12-27,Flight booking 5967,6255.7,debit
2024-06-17,Ola cab 1387,122.24,debit
2024-04-30,Jio recharge,283.95,debit
2025-07-05,Swiggy order #7921,174.3,debit
2026-04-12,IMPS payment 9563,7406.78,debit
2024-09-23,AWS invoice 1600,13016.27,debit
2026-01-05,Slack subscription,851.39,debit
2025-04-06,Zoom subscription,1930.47,debit
2024-12-11,Microsoft Azure 9728,14754.21,debit
2024-05-12,Medical reimbursement,3031.85,debit
2025-07-22,AWS invoice 2192,6933.59,debit
2025-02-28,Zoom subscription,1602.99,debit
2024-12-14,Zepto groceries,744.07,debit
2024-12-19,Flipkart order #7597,2775.69,debit
2025-12-19,Google Workspace,1799.68,debit
2024-01-31,Microsoft Azure 4282,5048.44,debit
2025-09-10,Slack subscription,1456.31,debit
2025-08-03,Amazon purchase,4973.7,debit
2024-07-16,Slack subscription,564.01,debit
2025-08-28,Figma subscription,1981.29,debit
2026-02-13,Slack subscription,655.35,debit
2025-10-31,GitHub subscription,979.53,debit
2026-03-08,Amazon purchase,1258.99,debit
2024-01-01,Medical reimbursement,1958.7,debit
2026-03-12,Bank charges 7556,472.75,debit
2024-07-26,Google Workspace,950.51,debit
2024-08-10,Razorpay settlement 2422,28808.9,credit
2024-04-07,Myntra order #2724,1509.6,debit
2024-11-19,UPI transfer #4745,40795.35,debit
2024-07-09,Office supplies,1603.45,debit
2025-11-08,Client payment 4847,71760.28,credit
2024-04-29,Airtel broadband,1418.22,debit
2024-01-09,Freelance payment 3089,79049.52,credit
2024-02-06,Swiggy order #9216,640.83,debit
2024-05-31,Razorpay settlement 8580,19474.47,credit
2024-12-07,Spotify premium,134.77,debit
2025-03-31,Uber ride 5747,387.0,debit
2025-01-01,Medical reimbursement,1232.36,debit
2024-09-16,Swiggy order #7466,552.78,debit
2025-10-23,Amazon purchase,1942.94,debit
2026-01-10,Uber ride 6185,322.97,debit
2025-06-07,Jio recharge,392.5,debit
2025-11-09,Airtel broadband,736.77,debit
2024-02-01,Office supplies,665.83,debit
2024-06-15,Spotify premium,129.03,debit
2024-06-25,Zomato order #7581,522.38,debit
2024-06-06,Netflix subscription,668.06,debit
2026-03-31,Office supplies,1059.43,debit
2024-03-04,Netflix subscription,748.22,debit
2025-06-27,Client payment 2114,144122.62,credit
2024-03-31,ATM withdrawal 6454,1963.64,debit
2025-02-18,Airtel broadband,1107.93,debit
2025-06-09,Flight booking 3645,18557.9,debit
2025-02-21,Spotify premium,116.92,debit
2025-06-05,Medical reimbursement,1684.84,debit
2025-10-29,NEFT transfer 6429,81149.16,credit
2024-09-25,Spotify premium,181.09,debit
2025-11-09,Hotel stay 6285,9618.22,debit
2024-12-10,Google Workspace,1218.79,debit
2025-02-22,Jio recharge,545.16,debit
2024-02-04,Google Workspace,861.28,debit
2025-10-22,Office supplies,1939.03,debit
2024-07-02,Flipkart order #2549,3089.66,debit
2024-06-07,Google Workspace,598.3,debit
2025-08-08,Team lunch 3571,6003.79,debit
2026-03-03,Google Workspace,1589.76,debit
2024-01-02,AWS invoice 2932,2311.83,debit
2025-02-12,ATM withdrawal 1004,2209.41,debit
2025-09-06,Razorpay settlement 8314,24733.83,credit
2026-04-19,Razorpay settlement 4304,33813.11,credit
2025-04-26,Hotel stay 9466,11151.71,debit
2024-02-01,BigBasket order,2507.13,debit
2024-07-22,Hotel stay 4978,9697.27,debit
2025-09-21,Flipkart order #9142,1580.67,debit
2025-04-29,Myntra order #3492,2783.58,debit
2026-03-01,Myntra order #4930,1338.76,debit
2024-12-24,Medical reimbursement,4854.63,debit
2025-01-29,Myntra order #9520,2017.93,debit
2025-09-21,Zomato order #3784,857.14,debit
2024-09-14,Salary credit 7649,147267.41,credit
2025-08-14,NEFT transfer 7850,47952.27,credit
2024-07-21,IMPS payment 7723,19664.17,debit
2024-07-09,UPI transfer #5049,40206.29,debit
2024-12-14,Salary credit 5238,66002.73,credit
2026-04-20,Flight booking 2688,6373.01,debit
2025-04-06,Airtel broadband,932.51,debit
2025-04-11,Team lunch 9887,4462.32,debit
2025-12-24,Ola cab 9808,345.97,debit
2025-04-14,Freelance payment 3404,15357.53,credit
2025-03-13,Netflix subscription,747.76,debit
2024-03-19,ATM withdrawal 4375,6658.18,debit
2025-10-17,Bank charges 1315,220.99,debit
2025-11-06,Flipkart order #1512,2223.47,debit
2025-08-21,Salary credit 3033,121374.91,credit
2024-11-29,Spotify premium,102.32,debit
2024-03-21,Netflix subscription,773.61,debit
2025-04-20,Zepto groceries,992.03,debit
2024-05-23,Flipkart order #9882,2276.88,debit
2024-12-09,Medical reimbursement,2544.57,debit
2025-03-14,BigBasket order,1841.07,debit
2025-12-25,GitHub subscription,1286.35,debit
2024-03-22,Electricity bill 1771,4098.45,debit
2025-09-04,Spotify premium,140.86,debit
2024-06-23,Microsoft Azure 6937,12964.98,debit
2025-07-31,BigBasket order,2145.76,debit
2025-07-21,Razorpay settlement 3070,46855.63,credit
2024-05-28,Team lunch 5174,3606.05,debit
2024-11-09,Jio recharge,313.29,debit
2025-07-04,Office supplies,830.05,debit
2024-04-06,Microsoft Azure 3645,8333.22,debit
2024-08-31,Spotify premium,104.96,debit
2025-06-15,Microsoft Azure 8141,10517.9,debit
2025-03-22,Jio recharge,593.72,debit
2026-04-11,Microsoft Azure 2759,3850.04,debit
2024-05-25,Zoom subscription,1059.64,debit
2025-12-27,Cheque deposit 5576,35040.27,credit
2024-06-21,AWS invoice 2496,12183.74,debit
2026-01-02,Flight booking 4678,11360.95,debit
2024-03-02,Microsoft Azure 7308,3223.18,debit
2024-04-07,Freelance payment 8790,74340.66,credit
2026-02-07,Spotify premium,183.72,debit
2024-06-15,Spotify premium,112.85,debit
2026-03-17,Team lunch 8474,4030.3,debit
2025-03-17,Microsoft Azure 2792,8311.81,debit
2024-11-08,Google Workspace,1329.45,debit
2025-06-03,Google Workspace,1139.36,debit
2024-08-02,Google Workspace,1532.42,debit
2025-09-01,Uber ride 2964,363.59,debit
2025-09-22,Flight booking 9037,10644.41,debit
2024-02-24,Office supplies,2386.17,debit
2025-03-26,GitHub subscription,978.55,debit
2024-11-24,GitHub subscription,430.43,debit
2024-04-28,Bank charges 7661,121.97,debit
2024-05-02,Refund credit 1408,884.17,credit
2024-10-28,NEFT transfer 3582,6663.41,credit
2025-12-05,Medical reimbursement,4410.23,debit
2025-12-10,Zoom subscription,1477.42,debit
2025-12-08,Airtel broadband,577.74,debit
2024-12-17,Ola cab 9953,234.85,debit
2024-04-14,Zomato order #1295,496.45,debit
2026-02-12,Ola cab 7215,123.39,debit
2025-07-10,Netflix subscription,648.48,debit
2025-09-07,Flight booking 4293,14605.87,debit
2024-11-03,NEFT transfer 8327,75936.36,credit
2026-04-25,Google Workspace,1281.75,debit
2026-02-24,Hotel stay 2155,3675.55,debit
2024-04-25,Jio recharge,230.98,debit
2024-06-24,UPI transfer #1761,28469.71,debit
2024-12-26,Uber ride 6353,332.89,debit
2025-06-14,Hotel stay 7216,6103.47,debit
2025-04-01,Spotify premium,171.77,debit
2024-01-29,Jio recharge,417.88,debit
2024-07-13,Microsoft Azure 6768,12696.29,debit
2025-12-04,Bank charges 9598,415.28,debit
2025-03-01,Medical reimbursement,4867.22,debit
2025-12-11,IMPS payment 6482,3692.03,debit
2026-04-09,Jio recharge,460.73,debit
2025-09-03,Microsoft Azure 8503,4496.35,debit
2024-01-02,Flipkart order #5825,875.0,debit
2025-01-25,Myntra order #4337,1131.58,debit
2026-01-16,Electricity bill 3838,4451.91,debit
2025-08-26,Airtel broadband,1023.96,debit
2026-04-08,Spotify premium,190.4,debit
2025-12-11,Amazon purchase,3666.15,debit
2026-04-07,Microsoft Azure 5759,18022.28,debit
2025-08-19,Netflix subscription,620.86,debit
2024-04-27,Airtel broadband,724.81,debit
2024-07-03,NEFT transfer 7770,19530.86,credit
2025-10-25,Cheque deposit 5667,14359.61,credit
2025-06-13,Slack subscription,651.37,debit
2024-06-15,Uber ride 9762,223.68,debit
2025-08-12,Freelance payment 5663,55439.17,credit
2024-11-01,Microsoft Azure 9698,17708.22,debit
2026-01-23,Ola cab 6114,333.64,debit
2024-04-09,Spotify premium,126.11,debit
2025-04-08,Team lunch 7752,7428.06,debit
2025-11-03,Zoom subscription,1314.98,debit
2025-05-03,Team lunch 8974,6150.84,debit
2024-09-02,Flipkart order #9772,3612.06,debit
2025-08-05,Airtel broadband,917.59,debit
2024-07-30,Electricity bill 8778,4481.8,debit
2025-10-31,NEFT transfer 9372,90224.0,credit
2025-01-16,Zepto groceries,394.88,debit
2024-10-20,Client payment 8054,110398.89,credit
2025-02-11,BigBasket order,2123.9,debit
2024-07-22,Client payment 4611,136979.2,credit
2025-10-17,Salary credit 6648,71825.82,credit
2025-02-01,Amazon purchase,2043.75,debit
2025-05-06,Swiggy order #6477,675.24,debit
2024-05-28,Interest credit,202.21,credit
2024-08-23,Team lunch 2521,4999.7,debit
2025-08-04,Salary credit 8007,69919.0,credit
2025-12-14,Client payment 2329,108015.81,credit
2025-08-05,Team lunch 5823,2881.59,debit
2026-03-16,UPI transfer #6363,31602.92,debit
2025-12-18,Figma subscription,903.95,debit
2024-12-05,Flight booking 9691,9133.56,debit
2024-06-26,Freelance payment 5558,45395.94,credit
2025-09-23,Client payment 5419,191805.2,credit
2025-05-20,Team lunch 8504,7356.3,debit
2025-12-24,ATM withdrawal 9832,8291.02,debit
2024-04-13,Slack subscription,1575.77,debit
2024-07-16,Medical reimbursement,542.13,debit
2024-08-05,Hotel stay 4977,10689.68,debit
2026-01-24,Google Workspace,1300.31,debit
2026-04-16,Airtel broadband,801.0,debit
2026-04-11,Team lunch 3075,4821.89,debit
2024-04-19,BigBasket order,1374.3,debit
2025-09-15,Ola cab 5831,186.17,debit
2025-10-05,AWS invoice 8425,7273.54,debit
2025-02-28,Interest credit,1797.2,credit
2025-05-26,Amazon purchase,4955.18,debit
2026-01-10,Office supplies,2308.87,debit
2025-06-10,Uber ride 9834,196.96,debit
2024-06-29,Swiggy order #7208,741.92,debit
2025-09-15,Uber ride 7564,384.29,debit
2025-09-30,Zoom subscription,1611.04,debit
2024-04-15,Hotel stay 3140,6848.1,debit
2024-11-08,Spotify premium,129.73,debit
2025-05-27,ATM withdrawal 9610,9170.69,debit
2024-03-26,Ola cab 7355,228.06,debit
2026-03-13,Zoom subscription,1655.28,debit
2024-12-09,Flight booking 6031,4518.1,debit
2025-10-02,Airtel broadband,1373.98,debit
2025-03-29,Razorpay settlement 7991,41675.29,credit
2024-06-27,Myntra order #4211,2618.84,debit
2024-11-28,Swiggy order #8731,312.46,debit
2025-05-16,Netflix subscription,561.19,debit
2024-08-09,Medical reimbursement,4863.79,debit
2024-01-24,Google Workspace,1359.47,debit
2024-01-10,ATM withdrawal 4564,5323.08,debit
2026-04-03,Hotel stay 7980,7314.99,debit
2024-09-03,Airtel broadband,720.44,debit
2024-05-24,Uber ride 4808,338.93,debit
2024-10-18,Flight booking 3906,14235.72,debit
2024-10-26,Flight booking 7986,7370.57,debit
2025-09-03,Netflix subscription,550.51,debit
2024-02-01,GitHub subscription,874.89,debit
2025-06-07,Flipkart order #8871,2858.59,debit
2025-10-30,Interest credit,952.44,credit
2026-04-28,Medical reimbursement,4146.1,debit
2024-04-29,Microsoft Azure 9985,15441.53,debit
2025-08-12,Office supplies,1562.29,debit
2024-07-23,Google Workspace,1432.0,debit
2025-08-02,Team lunch 2274,7620.13,debit
2024-02-17,Google Workspace,1045.96,debit
2024-12-10,Flight booking 3658,5227.83,debit
2025-02-02,Myntra order #6050,1401.75,debit
2024-02-19,Client payment 2497,195606.25,credit
2024-09-28,Swiggy order #3730,355.42,debit
2026-04-19,Flight booking 5910,7030.71,debit
2025-04-18,Jio recharge,375.96,debit
2024-01-07,Amazon purchase,412.38,debit
2025-02-16,Interest credit,1401.98,credit
2024-08-22,Spotify premium,173.76,debit
2025-01-21,Airtel broadband,990.47,debit
2025-11-12,Hotel stay 3414,3922.5,debit
2026-04-05,GitHub subscription,1152.58,debit
2024-11-09,ATM withdrawal 5012,5093.09,debit
2025-06-27,Medical reimbursement,755.96,debit
2025-08-16,Flight booking 4633,9711.81,debit
2025-10-17,Salary credit 1217,73242.55,credit
2025-03-09,Netflix subscription,705.88,debit
2024-12-17,Electricity bill 1618,2597.37,debit
2024-01-31,Zepto groceries,1667.79,debit
2024-09-24,Salary credit 9955,84361.56,credit
2025-03-23,Flight booking 7813,4439.28,debit
2025-11-11,Team lunch 9520,5160.25,debit
2024-03-02,Client payment 3002,192192.43,credit
2026-01-28,Swiggy order #2497,406.35,debit
2025-07-29,Flipkart order #5607,2588.99,debit
2025-09-14,Office supplies,1072.26,debit
2025-02-26,AWS invoice 4014,13068.97,debit
2024-03-04,Slack subscription,886.52,debit
2025-05-09,Cheque deposit 5937,52556.86,credit
2025-08-01,Hotel stay 1798,12417.0,debit
2024-08-23,Zepto groceries,320.09,debit
2025-08-14,Ola cab 2481,387.07,debit
2025-12-13,Office supplies,625.16,debit
2024-05-17,Microsoft Azure 2845,10956.35,debit
2025-08-31,Team lunch 6916,5169.72,debit
2025-07-08,Spotify premium,168.47,debit
2026-03-16,Electricity bill 4168,3584.34,debit
2025-11-13,Slack subscription,1792.22,debit
2024-05-12,Zomato order #8952,898.79,debit
2025-03-06,Salary credit 8028,137482.43,credit
2025-02-21,Airtel broadband,1042.61,debit
2024-09-02,Swiggy order #4471,255.79,debit
2026-04-29,Uber ride 4817,167.01,debit
2025-04-17,Figma subscription,1908.14,debit
2025-07-20,Freelance payment 9015,16053.2,credit
2024-10-07,Office supplies,1171.87,debit
2024-04-26,BigBasket order,999.5,debit
2025-08-15,GitHub subscription,452.56,debit
2025-06-13,Salary credit 5403,75924.7,credit
2025-01-10,Jio recharge,537.93,debit
2024-06-01,ATM withdrawal 9948,5274.02,debit
2024-10-03,Refund credit 5807,2651.06,credit
2025-07-01,Airtel broadband,505.85,debit
2025-04-06,Salary credit 1616,73925.38,credit
2025-01-17,Amazon purchase,2835.08,debit
2026-02-16,AWS invoice 4511,11564.13,debit
2025-05-06,Electricity bill 8293,4962.38,debit
2025-06-18,Spotify premium,153.07,debit
2026-03-15,Jio recharge,335.61,debit
2024-01-18,Freelance payment 6576,73414.46,credit
2025-03-11,Zomato order #2605,515.46,debit
2026-02-07,Medical reimbursement,3926.09,debit
2026-04-10,Figma subscription,870.31,debit
2024-06-30,Jio recharge,229.79,debit
2024-03-26,Client payment 7043,165713.82,credit
2025-02-12,Client payment 2970,74740.53,credit
2025-06-29,GitHub subscription,1338.11,debit
2026-02-08,Zepto groceries,1153.16,debit
2025-12-06,Zepto groceries,1543.79,debit
2024-02-17,Netflix subscription,705.33,debit
2026-01-29,IMPS payment 9715,18689.61,debit
2025-08-13,Zoom subscription,1926.32,debit
2025-11-29,Salary credit 2190,114083.87,credit
2024-02-06,Medical reimbursement,4114.02,debit
2024-09-07,Airtel broadband,814.73,debit
2024-09-06,Medical reimbursement,4105.51,debit
2026-03-08,IMPS payment 1644,9023.83,debit
2025-02-01,Slack subscription,1355.03,debit
2024-03-22,GitHub subscription,891.3,debit
2024-09-15,Flipkart order #2587,1581.61,debit
2024-02-29,Interest credit,200.46,credit
2025-02-13,Microsoft Azure 2746,5508.71,debit
2026-04-04,Amazon purchase,1272.4,debit
2025-11-08,Zomato order #2391,398.09,debit
2025-01-12,Zoom subscription,1058.3,debit
2025-01-09,Flight booking 8801,4075.38,debit
2024-08-16,Zoom subscription,1331.97,debit
2026-02-20,Freelance payment 5358,48115.03,credit
2025-11-27,Microsoft Azure 1562,5506.23,debit
2025-05-05,Figma subscription,1395.15,debit
2025-06-06,Freelance payment 3265,65031.82,credit
2024-12-12,Team lunch 7619,4602.93,debit
2025-10-10,Office supplies,1870.89,debit
2024-05-10,Client payment 3216,186791.82,credit
